Source,Position,Faculty,Link,Description,PostingDate,DueDate
ASA,Tenured/ Tenure-Track Faculty - Business Statistics/ Analytics,University of Illinois at Chicago,https://jobs.amstat.org/jobs/11543180/tenured-tenure-track-faculty-business-statistics-analytics,"The Information and Decision Science (IDS) Department within the College of Business Administration invites applications for one or more tenure-track or tenured faculty position(s) in Business Statistics/Analytics beginning August 2019. This is an open rank position. Applicants should have a Ph.D., either completed or near completion, in statistics, machine learning, management science or a closely related field. Strong research capabilities, commitment to publish in top tier journals, and exemplary communication and teaching are expected. Applicants at the Associate or Full Professor level must have an excellent record of teaching and ongoing scholarly research activity consistent with a senior-level faculty appointment. Preference will be given to those candidates with research and teaching interests in applied statistics, business analytics, machine learning, and large scale data problems. Successful candidates will also have an interest and ability to interact effectively with students, industry partners, and the broader business community through IDS research centers focusing on analytics.  The University of Illinois at Chicago is a Carnegie Doctoral Research Extensive University. The department offers courses and conducts research in business analytics, information systems, and operations and supply chain management. Programs include undergraduate IDS major with concentrations and minors in business analytics, information systems, operations and supply chain management; masters programs in business analytics and in information systems. The department also maintains active doctoral programs with specializations in statistics, machine learning, operations research, and operations management and information systems. The position will encompass research and teaching at the undergraduate and graduate levels. For fullest consideration, please apply by posting close date at https://jobs.uic.edu/ and attach a letter of interest, CV, research statement, and name, title, and e-mail address for three professional references. Incomplete applications will not be considered. The search will remain open until the position(s) is (are) filled. Visit our website for further information about the Department, College, and University: http://business.uic.edu/.   The position will encompass research, undergraduate and graduate teaching, service to the department, college and university, and outreach to the business communities.     The University of Illinois at Chicago is an Equal Opportunity, Affirmative Action employer. Minorities, women, veterans and individuals with disabilities are encouraged to apply.     The University of Illinois may conduct background checks on all job candidates upon acceptance of a contingent offer. Background checks will be performed in compliance with the Fair Credit Reporting Act.      
								
								A Ph.D., completed or near completion, and strong potential for quality research and teaching is expected.  Faculty at the Associate or Full Professor level must have a Ph.D. and an excellent record of scholarly research activity and teaching consistent with a senior-level faculty appointment. UIC is a major research university located near the heart of Chicago’s business community, just minutes from the downtown “Loop” and Lake Michigan. UIC is situated on a 240-acre campus and is the largest university in Chicago, with 30,000 students, and the most diverse in the Midwest.  UIC Business is the largest provider of undergraduate business education in Chicago. We also have full-time, evening, and Saturday MBA programs, five specialized master’s programs (Accounting, Business Analytics, Finance, Management Information Systems, and Marketing), as well as five PhD programs (Accounting, Business Statistics, Management Information Systems, Marketing, and Organizational Behavior/Human Resources). UIC Business is AACSB accredited with 2,800 undergraduate, 700 master's, and 40 Ph.D. students. The undergraduate business program is ranked #1 in Chicago (U.S. News & World Report), the entrepreneurship programs are in the top 25 nationally (Princeton Review), and the interdisciplinary product development curriculum is an AACSB-award winner. For additional information, please visit our website at http://business.uic.edu/.",2018-10-03,2019-08-20
ASA,Tenure Track as Associate Senior Lecturer in Mathematical Statistics,"Department of Mathematics and Mathematical Statistics, Umeå University",https://jobs.amstat.org/jobs/11542618/tenure-track-as-associate-senior-lecturer-in-mathematical-statistics,"Umeå University, Faculty of Science and Technology Umeå University is dedicated to providing creative environments for learning and work. We offer a wide variety of courses and programmes, world leading research, and excellent innovation and collaboration opportunities. More than 4 300 employees and 31 500 students have already chosen Umeå University. We welcome your application!   The department of mathematics and mathematical statistics invites applicants for a position as an Associate Senior Lecturer in Mathematical Statistics with specialization in compressive sensing (CS) and statistical learning (SL) with sparsity. The position comes with resources for five post-doc years, one graduate student, and costs related to the project at a level of 60 kSEK yearly. BackgroundThe expansion of Artificial Intelligence (AI) is one of the most exciting developments of the 21st century. The centre Wallenberg AI, Autonomous Systems, and Software Program (WASP) is launching a program to develop the mathematics of AI. This call is part of the program. The position aims to develop new mathematical, statistical and computational methodology for intelligent CS and SL, establish the theoretical framework, and explore their applications in AI, including medical imaging, automated quality control, and self-driving cars. Understanding and exploiting sparsity to extract useful information from big datasets with purpose of making optimal decisions will be the main focus for this position. The employmentThe applicant should contribute to the build-up of the research environment on mathematics for AI, with focus on CS and SL with sparsity, and supervise PhD students and postdocs. We are primarily searching for applicants who work on emerging CS and SL techniques, but will also consider candidates that work in depth on one of these two topics.  The description of the applicant’s intended research will be given great significance in the evaluation process.You are expected to work independently and your main focus should be to develop novel theory in CS and SL for AI. Education at the department will offer an opportunity to supervise qualified degree projects in collaboration with external partners. You should also actively seek external funding.The employment as Associate Senior Lecturer (biträdande universitetslektor in Swedish) is a 6 year position consisting of five year research and one year pedagogical qualification. At the end of this employment period, an Associate Senior Lecturer has the right, after requesting, to be examined for a promotion to Senior Lecturer at Umeå University.   
								
								RequirementsThe applicant should have a doctoral degree in mathematics, mathematical statistics, or equivalent academic competence. Priority should be given to candidates who have completed their doctoral degree no more than five years before the deadline for application. The selection will be based on the degree of scientific competence, primarily assessed from publications. Additionally, the degree of pedagogical competence and administrative and other competence of importance for the subject area and tasks in the position will be assessed. Also, the ability to independently organize, lead and manage projects will be considered. The applicant must have international research experience and documented knowledge that strengthens the competence in the research field in Sweden. The applicant must also be able to demonstrate an ability to work, collaborate, and communicate in a responsive and independent way, in contexts both inside and outside of academia. The applicant must be fluent in oral and written English.The applicant must have contributed in CS theory or SL with sparsity methodology development. Achievements of new CS theory such as statistical CS, dynamic CS and new SL with sparsity are of particular interest for the position. Theoretical properties of general regularizations, numerical methods for large-scale optimization, and statistical inference methods for sparse data are specific areas of interest. Experience of successful development of mathematical and statistical methods for analysis of big data and experience of interdisciplinary research projects will be meritorious, as will a documented ability to attract competitive research funding.Pedagogic competence should be in mathematics or mathematical statistics. Documented experience of teaching at first-cycle and second-cycle (basic and advanced level) and supervision of degree theses and pedagogical development work are meritorious.Administrative competence should be the ability to develop and lead activities and staff at a university and the ability to establish collaboration between research and education at all levels, within the subject area of the position and with other academic subject disciplines. A well-documented ability to lead, organize and develop research activities is meritorious.Documented successful educational and professional activities in mathematics or mathematical statistics, and documented successful experience of collaboration between research and education are meritorious. Research at the Department of Mathematics and Mathematical Statistics is conducted within mathematics, mathematical statistics, and computational science. Important cooperation partners include the Faculty of Science and Technology, the Faculty of Medicine, Umeå School of Business and Economics, Umeå School of Sport Sciences, the University Hospital, the Faculty of Forest Sciences at the Swedish University of Agricultural Sciences, and industry. We provide education at all levels with a particular focus on the Master of Science programs in Industrial Engineering and Management.",2018-10-03,NA
ASA,"Advisory Manager, Analytics and Model Risk (Multiple Positions)",PricewaterhouseCoopers Advisory Services LLC,https://jobs.amstat.org/jobs/11543449/advisory-manager-analytics-and-model-risk-multiple-positions,"Advisory Manager, Analytics and Model Risk (Multiple Positions), PricewaterhouseCoopers Advisory Services LLC, New York, NY. Provide strategy, management, technology and risk consulting services to help clients respond to complex business challenges. Help clients understand and address their enterprise risk and regulatory profile. Advise clients on overall management and performance of their business, with a focus in compliance management, business continuity, risk and governance, and treasury management. Work with teams focused on executing Data Analytics projects within the Financial Services sector, including the banking, consulting or government regulatory sectors. Utilize and understand financial and/or econometric modeling; credit risk models, mortgage prepayment models, and/or complex discounted cash flow models; techniques for analysis of complex financial services data, including programming and computational techniques for large data sets and quantitative analyses; statistical techniques for analyzing financial data, including sampling, optimization, logistic regression, and cluster analyses; and visualization techniques for summarizing complex financial data analyses. Research and analyze pertinent client, industry, and technical matters.   40 hrs/week, Mon-Fri, 8:30 a.m. - 5:30 p.m.   MINIMUM REQUIREMENTS:   Must have a Bachelor's degree or foreign equivalent in Engineering, Computer Science, or a related field, plus 5 years of post-bachelor's, progressive related work experience; OR a Master's degree or foreign equivalent in Engineering, Computer Science, or a related field, plus 3 years of related work experience.   Must have experience in the following:   Managing and supervising teams that utilize industry-leading programming and analytical tools to analyze AML data, including SAS, R, C++, SPSS, Oracle and SQL; Utilizing advanced statistical and/or econometric modeling techniques and complex Excel-based spreadsheet models; Programming within SAS; and, Performing in Visual Basic, SQL, and/or C++ environments.   Travel up to 80% is required.   Please apply by mail, referencing Job Code NY1894, Attn: HR SSC/Talent Management, 4040 West Boy Scout Boulevard, Tampa, FL 33607.  
								
								 
						
							
								Internal Number: NY1894 please refer to job description",2018-10-03,NA
ASA,Tenure-Track Assistant Professor,University of Michigan Statistics,https://jobs.amstat.org/jobs/11543073/tenure-track-assistant-professor,"The Department of Statistics at the University of Michigan, Ann Arbor, invites applications for a tenure-track assistant professor to begin September 1, 2019. Exceptional candidates at higher ranks will be considered subject to additional approval from the administration. This is a nine-month appointment. A Ph.D. in statistics or a related field is required. Applicants are expected to have demonstrated outstanding research potential and excellence in teaching. Candidates in all areas will be considered. Women and minorities are encouraged to apply. Send electronic versions of vitae, academic transcript, statement of current and future research plans, statement of teaching philosophy and experience, evidence of teaching excellence, selected publications, and arrange to have three recommendation letters sent to MathJobs.org. Review of applications will begin on November 1, 2018 and will continue until the position is filled. For more information, visit http://www.lsa.umich.edu/stats/. We also encourage applications to the LSA Collegiate Fellows program with the deadline of October 1, 2018; see https://lsa.umich.edu/stats/collegiate-fellows.html for more information.   The University of Michigan is supportive of the needs of dual career couples and is an equal opportunity/affirmative action employer.  
								
								 
						
							
								Internal Number: TTAP2019 The Department of Statistics currently have 25 regular faculty members, several others with courtesy appointments, and about 8 teaching faculty. Faculty members have joint appointments in Biostatistics, Center for Statistical Consultation and Research, Electrical Engineering and Computer Science, Industrial & Operations Engineering, Institute for Social Research, Political Science, Psychiatry, Psychology, and Sociology. Our faculty members have broad research interests, covering statistical theory, methodology, and computing. We are also engaged in a wide range of interdisciplinary applications in life sciences, social sciences, engineering, information technology, etc.",2018-10-03,2019-09-01
ASA,Tenure-Track Faculty Positions Department of Statistics Rutgers University-New Brunswick,"Rutgers, The State University of New Jersey",https://jobs.amstat.org/jobs/11538299/tenure-track-faculty-positions-department-of-statistics-rutgers-university-new-brunswick,"Tenure-Track Faculty Positions   Department of Statistics  Rutgers University-New Brunswick, School of Arts & Sciences   ***********************************************************   The Department of Statistics of Rutgers University seeks outstanding applicants for tenure-track positions of assistant and associate professors to start Fall 2019. Applicants must have a Ph.D. in statistics or a related field by September 1, 2019. Responsibilities of the position include: teaching and supervising both undergraduate and graduate programs in statistics, and conducting original research in broad areas of statistics, particular strength in data science, Bayesian statistics and spatial statistics are preferred. Pursuit of external research funding is expected.Interested individuals should apply online through Rutgers online http://jobs.rutgers.edu/postings/75153by providing curriculum vitae, research statement and teaching statement, and arranging for submission of at least three confidential letters of reference.   Affirmative Action/Equal Employment Opportunity Statement It is university policy to provide equal employment opportunity to all its employees and applicants for employment regardless or their race, creed, color, national origin, age, ancestry, nationality, marital or domestic partnership or civil union status, sex, pregnancy, gender identity or expression, disability status, liability for military service, protected veteran status, affectional or sexual orientation, atypical cellular or blood trait, genetic information (including the refusal to submit to genetic testing), or any other category protected by law. As an institution, we value diversity of background and opinion, and prohibit discrimination or harassment on the basis of any legally protected class in the areas of hiring, recruitment, promotion, transfer, demotion, training, compensation, pay, fringe benefits, layoff, termination or any other terms and conditions of employment. For additional information please see the Non-Discrimination Statement at the following web address: http://uhr.rutgers.edu/non-discrimination-statement Rutgers, The State University of New Jersey, is a leading national research university and the state of New Jersey’s preeminent, comprehensive public institution of higher education. Established in 1766 and celebrating a milestone 250th anniversary in 2016, the university is the eighth oldest higher education institution in the United States. More than 66,000 students and 22,000 faculty and staff learn, work, and serve the public at Rutgers locations across New Jersey and around the world.",2018-10-02,2019-09-01
ASA,Postdoctoral Fellow,Australian National University,https://jobs.amstat.org/jobs/11538559/postdoctoral-fellow,"The Postdoctoral Fellow will contribute to the ARC Discovery Project grant ""Dimension reduction and model selection for statistically challenging data"" and will be working closely with the Chief Investigators of the project: Professor Alan Welsh, Dr Francis Hui of the Mathematical Sciences institute, ANU, and Professor Samuel Mueller of the School of Mathematics and Statistics, The University of Sydney.  The Postdoctoral Fellow will have the opportunity to spend several weeks each year at The University of Sydney to work with Professor Mueller, to undertake research related to the project, to further enhance research collaboration and build networks. In addition, the postdoctoral fellow will have multiple opportunities to present their findings at domestic and international conferences and workshops.   Applicants are expected to have an outstanding research record in Statistics or a related area, as evidenced by publications in peer-reviewed journals and attendance at workshops and conferences. Preference will be given to candidates who have experience in methodological and theoretical statistics, and good computer skills. This is a research intensive position; however, an appointee may have an opportunity for teaching.  
								
								A PhD in Statistics, or must have submitted PhD thesis in Statistics prior to starting employment, with a track record of independent research in the field of Statistical Science as evidenced by publications in peer-reviewed journals and conferences. Potential for significant research discovery in Statistics. Research experience in methodological and theoretical statistics together with proven computing skills will be highly regarded. Excellent oral and written English language skills and a demonstrated ability to communicate and interact effectively with a variety of staff and students in an academic environment and to foster respectful and productive working relationships with staff, students and colleagues at all levels. Capacity to contribute to research through written publications and presentations, in particular in statistics. A demonstrated high-level understanding of equal opportunity principles and a commitment to the application of these policies in a University context.   
						
							
								Internal Number: 526767 The Australian National University (ANU) is a leading research and teaching university located in Canberra, Australia.


The ANU College of Science comprises: the Research School of Astronomy and Astrophysics, the Research School of Biology, the Research School of Chemistry, the Research School of Earth Science, the Fenner School of Environment & Society, the Mathematical Sciences Institute, the Research School of Physics & Engineering, and the Centre for the Public Awareness of Science.  Staff and students within the ANU College of Science conduct research and deliver a research-led education program that encompasses the entire breadth of the sciences, supported by extensive international networks and by world-class facilities.  The College has a strong tradition of research excellence that has fostered distinguished Nobel Laureate and Kyoto Prize winners and trained scientific leaders in disciplines in which the ANU is consistently ranked in the top twenty in the world.


The Mathematical Sciences Institute (MSI) aims for research and educational outcomes of the highest quality.  The Institute comprises approximately 45 academics and 9 professional staff members.  The Insti...tute hosts nine mathematical research programs; Algebra & topology, Analysis & geometry, Applied & nonlinear analysis, Bioinformation science, Computational mathematics, Mathematical physics, Statistical science, Stochastic analysis & risk modelling and Theoretical astrophysics.  The Institute offers a variety of undergraduate and graduate teaching programs and is currently hosting approximately 1400 students.


The MSI is strongly committed to improving the gender balance amongst staff and students.  It is taking proactive action towards this goal by strongly encouraging early career female researchers to apply for this position.
			Show more
			Show less",2018-10-02,NA
ASA,Assistant Professor (tenure track),University of Wisconsin-Madison,https://jobs.amstat.org/jobs/11534633/assistant-professor-tenure-track,"The Department of Statistics at the University of Wisconsin, Madison, invites applications for multiple tenure-track assistant professor positions starting in August 2019. We seek exceptionally strong candidates with a PhD in Statistics or related quantitative field requires and with backgrounds and interests in all areas of Statistics, with preference for those whose research experience is in areas such as data science, machine learning, statistical computing, Bayesian statistics, or statistical modeling. Review of applications will begin on December 15, 2018 and continue until the positions are filled. Applications should include a letter of interest, a detailed resume, a copy of university transcripts, a research statement that includes a summary of dissertation and publications, and a teaching statement in a single PDF document, as well as names and contact information for at least three individuals to write letters of recommendation.  At least one of the letters should speak to the applicant's effectiveness as a teacher.  All application materials should be uploaded at the Jobs@UW website, http://jobs.hr.wisc.edu/cw/en-us/job/499356/assistant-professor-of-statistics (PVL 96020).   
								
								Ability to teach at the undergraduate and graduate levels in one or more of these areas or in statistical consulting is preferred. Other desirable attributes include excellent oral and written communication skills and the ability to interact with an interdisciplinary and collaborative intellectual community. The incumbent will teach 3 courses per academic year, participate in the training of graduate students; conduct research in the area of statistics, present research at national meetings and publish results in leading statistical journals; participate in profession, university and community service 
						
		
			NOTES:
			
				3 openings.
		
	
							
								Internal Number: 96020 Department of Statistics has 21 faculty, over 165 graduate students, 150 undergraduate students,  department is well known for its strong interplay between statistical theory, methodology, data science and practice.  University of Wisconsin-Madison ranks among the top universities in the country in research expenditures and provides excellent support for external funding.  Excellent benefits",2018-10-02,2019-08-20
ASA,Assistant Professor,Texas Christian University,https://jobs.amstat.org/jobs/11534847/assistant-professor,"Texas Christian University Fort Worth, Texas Department of Mathematics http://www.math.tcu.edu Applications are invited for a tenure-track assistant professor position beginning in August 2019. Qualifications include an academic background that has prepared the candidate to teach upper level courses in statistics that form parts of our actuarial program and proposed data science program. Candidates for this position are expected to take an active role in the actuarial program. Required are a Ph.D., by August 2019, in  Statistics, Actuarial Science, Data Science, Biostatistics, Financial Mathematics, Mathematics, or Applied Mathematics; excellent research potential; and a record of outstanding teaching. The candidate should apply through MathJobs (http://www.mathjobs.org/), submitting (a) an AMS cover sheet; (b) a complete vita, including a list of publications; (c) a research plan; (d) a teaching statement; (e) copies of undergraduate and graduate transcripts; and (f) three or more confidential letters of recommendation, at least one of which addresses the candidate’s teaching in detail.  Candidates must also fill out a brief personal information form and upload their vita through the TCU HR system at https://tcu.igreentree.com/CSS_Faculty. Click on “Find Openings” and then select “Science and Engineering Positions.” Formal review of candidates will begin on November 1, 2018, and continue until the position is filled. Inquiries should be directed to Ze-Li Dou, Search Committee Chair, at z.dou@tcu.edu. Texas Christian University, founded in 1873, is a secular institution with nearly 11,000 students and a reputation for excellence in teaching and noted institutional support for mathematical research.  The university is located in the Dallas-Fort Worth metroplex, a vibrant metropolitan area with a population of nearly seven million people.  As an AA/EEO employer, TCU recruits, hires, and promotes qualified persons in all job classifications without regard to age, race, color, religion, sex, sexual orientation, gender, gender identity, gender expression, national origin, ethnic origin, disability, genetic information, covered veteran status, or any other basis protected by law.    
								
								 
						
							
								Internal Number: AP2018 Texas Christian University is an AA/EEO employer. Founded in 1873, TCU is a secular, liberal arts institution with nearly 11,000 students; it is located in the Dallas-Fort Worth metroplex.",2018-10-01,2019-08-20
ASA,Tenure-track or Tenured Faculty Position(s),"Wharton Department of Statistics, University of Pennsylvania",https://jobs.amstat.org/jobs/11534289/tenure-track-or-tenured-faculty-position-s,"The Department of Statistics of the Wharton School, University of Pennsylvania, is seeking full-time, tenure-track or tenured faculty at any level: Assistant, Associate, or Full Professor. The appointment is expected to begin July 1, 2019. Applicants must show outstanding capacity and achievement in research, as well as excellent teaching and communication skills. Applicants must have a Ph.D. (expected completion by June 30, 2020 is acceptable) from an accredited institution. Please visit our website, https://statistics.wharton.upenn.edu/recruiting/facultypositions, for a description of the department and a link to submit a CV and other relevant materials. Any questions can be sent to statistics.recruit@wharton.upenn.edu. The University of Pennsylvania is an EOE. Minorities / Women / Individuals with disabilities / Protected Veterans are encouraged to apply. At Wharton, the Department of Statistics participates in a wide range of university consortia that spans the fields of computer science, neuroscience, medicine, public policy, and finance. Moreover, our faculty members have won singular international recognition for their contributions to many parts of statistical science including observational studies, statistical algorithms, game theory, high dimensional inference, information theory, nonparametric function estimation, model selection, time series analysis, machine learning, and probability theory.",2018-10-01,2020-06-30
ASA,Lecturer/ Senior Lecturer in Discipline – Applied Analytics,Columbia University,https://jobs.amstat.org/jobs/11534558/lecturer-senior-lecturer-in-discipline-applied-analytics,"The School of Professional Studies (SPS) at Columbia University invites applications for full-time positions at the rank of Lecturer in Discipline or Senior Lecturer in Discipline to teach in the MS Program in Applied Analytics. The degree prepares graduates to help organizations understand the value of data-driven decision-making, to deliver business intelligence through analytics, and to lead organizations in implementing change based on insights-driven decisions.    This position will begin on January 1, 2019 or July 1, 2019. This is a full-time appointment with multi-year renewal contingent on successful review. We are seeking high-quality candidates with a graduate degree in data science statistics, applied mathematics, computer science, or other quantitative disciplines directly related to data analytics.  Experience mentoring students on consulting projects, where students engage in solving real-world analytics problems with industry partners is a plus. The ability to form partnerships and collaborations with industry stakeholders to develop applied research and foster entrepreneurial ideas is also welcome.   This position will involve regular teaching in the program’s core and elective courses.  Topics include quantitative and qualitative research methods, statistical modeling, data analytics and strategic management, machine learning and cognitive computing, data visualization and design, leadership, and change management. The Lecturer/Senior Lecturer in Discipline will also participate in instructional design, student mentoring, and overall development of the Applied Analytics program.   The ideal candidate will: Hold a doctoral degree, terminal degree, or its professional equivalent in data science, statistics, applied mathematics, computer science, or other quantitative disciplines directly related to applied analytics. Possess 5+ years of professional practice in an applied industry setting, including leadership roles directing departments or organizations.  Exhibit a commitment to excellence in teaching, mentoring, instructional design, and professional practice and/or scholarship.    Candidates at the rank of Senior Lecturer in Discipline are expected to have substantial experience and accomplishments, and a superlative record of teaching as a lecturer, and documented evidence of excellence in carrying out administrative or other department responsibilities. Candidates at the rank of Lecturer in Discipline are expected to have teaching experience, documented evidence of excellence, and evidence of professional growth and activity in the given field.   For more information, and to apply, please go to: https://academicjobs.columbia.edu/applicants/Central?quickFind=67069     Columbia University is an affirmative action, equal opportunity employer. The University is dedicated to the goal of building a culturally diverse and pluralistic faculty and staff committed to teaching and working in a diverse environment, and welcome applicants who share these values.     Columbia University is an Equal Opportunity/Affirmative Action employer --Race/Gender/Disability/Veteran. The School of Professional Studies offers innovative and rigorous programs that integrate knowledge across disciplinary boundaries, combine theory with practice, leverage the expertise of our students and faculty, and connect global constituencies.

Through thirteen professional master's degrees, courses for advancement and graduate school prep, certificate programs, summer courses, high school programs, and a program for learning English as a second language, the School of Professional Studies transforms knowledge and understanding in service of the greater good.",2018-10-01,2019-01-01
