Source,Position,Faculty,PostingDate,Link,Description,DueDate
UF Job Board,Group Leader and Professor,Oslo University Hospital and University of Oslo,2018-10-03,http://forms.stat.ufl.edu/statistics-jobs/entry/5193/?pagenum=1,"Oslo University Hospital is a highly specialized hospital in charge of extensive regional and local hospital assignments. As Scandinavia’s largest hospital, wecarry out more than 1.2 million patient treatments each year. The hospital has a nationwide responsibility for a number of national and multi-regionalassignments, and has several national centers of competence. Oslo University Hospital is responsible for approximately 50 percent of all medical and healthcare research conducted at Norwegian hospitals, and is a significant role player within the education of a large variety of health care personnel.The University of Oslo is Norway’s oldest and highest ranked educational and research institution, with 28 000 students and 7000 employees. With its broad range of academic disciplines and internationally recognised research communities, UiO is an important contributor to society. Research, some little teaching or advising. See the text of the call:https://www.webcruiter.no/WcMain/AdvertViewPublic.aspx?oppdragsnr=3931953404&culture_id=EN&company_id=606505644&link_source_id=0",2018-10-31
UF Job Board,Assistant or Associate Professor,University of South Carolina,2018-10-03,http://forms.stat.ufl.edu/statistics-jobs/entry/5192/?pagenum=1,"The University of South Carolina System (www.sc.edu)  comprised of the state's flagship university in Columbia (founded in 1801 and currently one of the top 50 ""Best Colleges"" according to U.S. News and World Report), three regional comprehensive universities (USC Aiken, USC Beaufort and USC Upstate), and Palmetto College consisting of four two-year campuses (USC Lancaster, USC Salkehatchie, USC Sumter, USC Union and Fort Jackson/Extended University). Together, the USC System institutions offer more than 450 degree programs on campus and online and are uniquely positioned to meet the state's educational, cultural, health and research needs. The System employs nearly 14,000 people who work daily to improve the lives of students, fellow South Carolinians and the world. Our diverse engaged faculty and staff enjoy a dynamic and intellectually stimulating work environment. The Department of Statistics at the University of South Carolina, Columbia invites applications and/or nominations for an Assistant or Associate Professor position in Statistics. The research focus for this position is in the theory, methodology, and computational aspects related to data science and the analysis of big data, including such research areas as multiple testing, machine learning, uncertainty quantification, data integration, complex data structures, anomaly detection, and data visualization; other related research areas will be considered. The appointment will commence August 2019.",2018-12-15
UF Job Board,Open Rank (Non-Tenure Track) Instructional Faculty Position,University of Georgia,2018-10-03,http://forms.stat.ufl.edu/statistics-jobs/entry/5191/?pagenum=1,"Department of StatisticsThe University of GeorgiaAthens, GA The person in this position will be in charge of the coordination of one of our large undergraduate statistics courses (STAT 2000: Introductory Statistics), which serves close to 2,500 students per year. STAT 2000 is a 4-hour credit course taught in large lectures with weekly lab sessions of up to 30 students each. The successful candidate will be in charge of the coordination of all STAT 2000 lectures, instructors, and Teaching Assistants. The person will also be in charge of constructing all assessments (exams, homework assignments, and lab exercises) including assigning grades for all students and of handling questions and inquiries from students in the course. Knowledge of programming using a homework/testing software and familiarity with the teaching of large lectures is a plus. The current testing software used for STAT 2000 is WebAssign, but other software platforms could be considered in the future. The person is also expected to teach some sections of the course throughout the academic year and during the summer. Teaching of other courses is a possibility based on the candidate’s interests and the Department’s needs.",2018-11-13
UF Job Board,Postdoctoral fellow,North Carolina State University,2018-10-03,http://forms.stat.ufl.edu/statistics-jobs/entry/5190/?pagenum=1,"The Department of Statistics at North Carolina State University was founded in 1941 by Gertrude M. Cox, and is one of the oldest and largest programs in the country. The Department offers a diverse set of programs including Mathematical Statistics, Biomedical Statistics, Environmental Statistics, Industrial Statistics, and Statistical Genetics. The Department of Statistics is unique among Statistics departments in that it houses graduate programs in Statistics and Bioinformatics. The Department has more than 40 primary faculty members, most of whom are housed in SAS Hall on the University’s main campus, and over 200 undergraduate and 160 graduate students. The primary function of the Department is to achieve outstanding research, teaching, mentoring, consulting and collaborations on campus and world-wide, within a cohesive and diverse department, where all students, faculty, and staff receive fair and equitable treatment. The Department of Statistics at North Carolina State University (NCSU) is hiring multiple post-doctoral research fellows. The positions are in environmental and biological statistics. Candidates with expertise in Bayesian modeling, spatial and spatiotemporal statistics, massive datasets or high-dimensional data analysis will be given preference, but the specific areas of methodological research can be flexible depending on the fellow's interests and skills.",NA
UF Job Board,Research Fellow-scheduling molecular biology experiments,Alan Turing Institute/University of Warwick,2018-10-03,http://forms.stat.ufl.edu/statistics-jobs/entry/5189/?pagenum=1,"The Alan Turing Institute is the UK's National Centre for Data Science and AI.  It is located in the British Library in London, and includes researchers from 13 affiliated universities.  In this particular role, the Research Fellow will be affiliated with the University of Warwick Department of Statistics.  The Fellowship will be primarily based at the Alan Turing Institute, but may work from Warwick University if they desire. JOB PURPOSE You will undertake innovative research to help biologists schedule their experiments to learn the structure of gene networks. This may involve online learning and/or reinforcement learning methods. Please see the project page for more information: https://www.turing.ac.uk/research/research-projects/data-driven-experiment-design DUTIES AND RESPONSIBILITIES To contribute to the research climate within the department of Statistics. Research 1. To work collaboratively within the project as directed, working with other researchers and senior investigators on the project. 2. To establish a sound research base within the department in order to pursue individual and collaborative research of high quality. 3. To publish research outcomes in appropriate journals of international standing and to publish and disseminate the result of research and scholarship in other outlets. 4. To attend and present research findings and papers at academic and professional conferences, and to contribute to the external visibility of the department. Administration and Other Activities 5. To participate in departmental activities such as workshops and other events. 6. To participate in relevant professional activities, such as departmental research seminars. The duties and responsibilities outlined are not intended to be an exhaustive list but to provide guidance on the main aspects of the job. The postholder will be required to be flexible in their duties.",2018-11-04
UF Job Board,Statistical Genetic Analyst II,"Vanderbilt University School of Medicine, TN",2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5188/?pagenum=1,"The Vanderbilt Genetics Institute (VGI) at Vanderbilt University School of Medicine was established to foster scientific interactions at the clinical, molecular, and analytical levels by providing state-of-the-art resources to Vanderbilt scientists involved in genetic and genomic research. VGI is uniquely positioned to enable translational discoveries due to the enormous university-wide investments in biomedical informatics and precision medicine. These investments are exemplified by BioVU, a biobank of genetic material containing over 225k patient samples and Vanderbilt’s lead role in the President’s Precision Medicine Initiative. Our school is committed to the principles of equal opportunity for employment. We are seeking for applicants for the Biostatistician II position at the Vanderbilt Genetics Institute. The Ng lab focus on studies of the genetic architecture of cardiometabolic diseases such as type 2 diabetes, diabetic nephropathy, obesity and cardiovascular diseases, and have particular interest in admixed population of African ancestry. We collaborate extensively with national and international consortia. Projects include genome-wide associations, whole exome/genome sequencing, gene-gene and gene-environment interactions, and metabolomics studies.The successful candidate will have opportunity to work on large-scale consortium datasets, and the EHR-linked Vanderbilt Biobank (BioVU) and the Million Veteran Program (MVP). He/she will work in a team environment with supervision. He/she will apply existing genetics and statistical tool and/or develop new methods such as machine learning to analyze data from these studies. He/she will provide statistical expertise in study design, manage databases, prepare and implement analysis plan, summarize and present results for written reports and oral presentations, and assist in manuscript and grant writing.",2018-12-31
UF Job Board,Postdoctoral Research Fellow,"Vanderbilt University School of Medicine, TN",2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5187/?pagenum=1,"The Vanderbilt Genetics Institute (VGI) at Vanderbilt University School of Medicine was established to foster scientific interactions at the clinical, molecular, and analytical levels by providing state-of-the-art resources to Vanderbilt scientists involved in genetic and genomic research. VGI is uniquely positioned to enable translational discoveries due to the enormous university-wide investments in biomedical informatics and precision medicine. These investments are exemplified by BioVU, a biobank of genetic material containing over 225k patient samples and Vanderbilt’s lead role in the President’s Precision Medicine Initiative. Our school is committed to the principles of equal opportunity for employment. We are seeking for applicants for the Postdoctoral Research Fellowship at the Vanderbilt Genetics Institute. The Ng lab focus on studies of the genetic architecture of cardiometabolic diseases such as type 2 diabetes, diabetic nephropathy, obesity and cardiovascular diseases, and have particular interest in admixed population of African ancestry. We collaborate extensively with national and international consortia. Projects include genome-wide associations, whole exome/genome sequencing, gene-gene and gene-environment interactions, and metabolomics studies.The successful candidate will have opportunity to work on large-scale consortium datasets, and the EHR-linked Vanderbilt Biobank (BioVU) and the Million Veteran Program (MVP). He/she will work in a team environment . He/she will apply existing genetics, statistics and bioinformatics tool and/or develop new methods such as machine learning to analyze data from these studies. A primary role will be contributing to the design, implementation, manuscript preparation of research projects and assist grant writing.",2018-12-31
UF Job Board,Lecturer in Statistics,University of Canterbury,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5186/?pagenum=1,"The University of Canterbury is committed to promoting a world-class learning environment through research and teaching excellence, and has a vision statement of 'People Prepared to Make a Difference'. You will have the opportunity to work alongside members of a diverse academic community and enrich your own professional and personal development.For information about the range of fantastic benefits that UC offers including flexible work practices, study opportunities and generous superannuation and leave provisions, please visit us: http://www.canterbury.ac.nz/joinusThe School of Mathematics and Statistics is a strong, forward-looking School, dedicated to excellence in teaching and research.For more about the School, please visit: http://www.math.canterbury.ac.nz/ We are looking for people to contribute to the development of our teaching and research programmes in Statistics. You will contribute to the vibrancy of the School's research culture and teach into the Statistics programme. You will be expected to undertake a range of teaching responsibilities for both undergraduate and postgraduate students and to supervise research (postgraduate) students. Collaborative research, both within the university and externally, is encouraged.",2018-11-13
UF Job Board,"Tenure Track Faculty Positions, Data Science",University of Delaware,2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5185/?pagenum=1,"With roots tracing back to 1743, the University of Delaware combines tradition and innovation, offering students a rich heritage along with the latest in instructional and research technology. Located in Newark, Delaware, within two hours of New York, Philadelphia, Baltimore, and Washington, D.C., the University is a Land Grant, Sea Grant, and Space Grant University. It is classified as a Carnegie R1 Doctoral University (Highest research activity), with external funding exceeding $200 million. A state-assisted, privately governed institution, the University enrolls approximately 17,000 undergraduates and 4,000 graduate students. The University of Delaware has been recognized for the past five years by the Chronicle of Higher Education as one of America’s best universities to work for. The University of Delaware (http://www.udel.edu/) invites applications for tenure-track faculty positions in Data Science at the Assistant or Associate Professor levels beginning September 1, 2019. We are seeking exceptional candidates with interests in a wide range of topics within the foundations of data science including the development of the underlying theory, tools, and techniques necessary to extract meaning from large, complex or unstructured data sets.",2018-11-15
UF Job Board,BIOINFORMATICIAN,University of Pennsylvania (Division of Translational Medicine & Human Genetics/Castleman Disease Center),2018-10-02,http://forms.stat.ufl.edu/statistics-jobs/entry/5184/?pagenum=1,"The Perelman School of Medicine at the University of Pennsylvania is the oldest and one of the finest medical schools in the United States. Penn is rich in tradition and heritage and at the same time consistently at the forefront of new developments and innovations in medical education and research. Since its founding in 1765 the School has been a strong presence in the community and prides itself on educating the leaders of tomorrow in patient care, biomedical research, and medical education. http://www.med.upenn.edu/ The Division of Translational Medicine & Human Genetics, in collaboration with the Institute for Biomedical Informatics (IBI), is searching for a talented, experienced, and highly motivated data scientist/bioinformatician/computational biologist to perform complex biostatistical and bioinformatic analyses on a variety of ‘omic’ and tissue based assays. This position will function as part of the Fajgenbaum laboratory within the Castleman Disease Center at Penn (CDCP), both of which are working to understand the etiology of idiopathic multicentric Castleman disease (iMCD) and cell types, signaling pathways, and cytokines that drive pathogenesis in order to ultimately identify life-saving treatment approaches. iMCD is a rare and deadly immunological disorder that is extremely poorly understood. This is a unique opportunity to join a leading lab in the iMCD field; the research group is generating large-scale multi-layer ‘omics’ datasets on individual patients. Key technologies that the research team is currently leveraging or plans to leverage are next-generation DNA and RNA sequencing (WES, WGS, single cell, etc.), T and B cell repertoire profiling, flow cytometry/CyTOF, serum and tissue proteomics, and path-omics machine learning. The data scientist/bioinformatician will work directly with other members of the laboratory to analyze datasets and integrate findings to provide novel and important insights into disease drivers. A significant number of publications and presentations are anticipated, and insights will be translated into cellular assays, mouse models, and human applications.The Fajgenbaum lab and CDCP comprises a highly motivated, patient-focused team that works closely with international collaborators and the Castleman Disease Collaborative Network. The lab recently received the first-ever R01 to study iMCD, which is funding this position. The data scientist/bioinformatician/computational biologist will be provided with support from Penn’s IBI, as well as external experts in hematology, immunology, and hematopathology.The main responsibilities for this role will be to assist with study design and grant applications; plan, develop, implement, and maintain high-quality biomedical data analysis pipelines and bioinformatics applications; lead integration and bioinformatics analyses of data generated by investigators through application of statistical methods, machine learning, visual analytical, and other advanced applications for the analysis; present results and publish findings. This role requires performing complex computational analysis, exploration of parameter settings, comparison of results across different methods, and the summary and visualization of data and results. The candidate will also need to implement and manage biomedical data with databases, query interfaces and web applications as well as retrieve biomedical NGS data from public resources and organize the data for easy analysis and sharing.DUTIES:• Develop, implement and maintain high-quality pipelines for the processing of large quantities of next-generation sequencing (NGS) data.• Apply statistical methods, machine learning (ML), visual analytical (VA) and other advanced applications for the analysis of (large scale) biomedical data.• Implement and manage biomedical data with databases, query interfaces and web applications. Retrieve biomedical NGS data from public resources and organize the data for easy analysis and sharing.• Prepare results in tabular, written summary, and graphical summary form suitable for publication and peer review.• Provide bioinformatics support to the Fajgenbaum Laboratory and CDCP. Requires performing complex computational analysis, exploration of parameter settings, comparison of results across different methods, and the summary and visualization of data and results for presentation.• Implements, tests, deploys, documents, and maintains analytical applications, analysis pipelines, and results reporting methodologies. This duty includes computer programming necessary to make modifications to existing algorithms and software or to write scripts to implement software in a server or high-performance computing environment.",NA
